交易时间,商户名称,金额(元),类型,绝对金额(元),分类
2021-09-01 11:06:23,玉兰食堂-麻辣烫,-29.82,消费,29.82,餐饮
2021-09-01 12:27:26,玉兰食堂-麻辣烫,-7.09,消费,7.09,餐饮
2021-09-01 07:27:03,玉兰食堂-早餐,-8.63,消费,8.63,餐饮
2021-09-02 18:37:03,紫竹-鸡柳大人,-24.29,消费,24.29,餐饮
2021-09-02 08:02:35,微信充值,100.00,充值,100.00,充值/转账
2021-09-02 19:34:07,紫竹-民族餐厅,-18.16,消费,18.16,餐饮
2021-09-02 21:06:37,浴室,-2.00,消费,2.00,浴室/开水
2021-09-03 17:39:13,紫竹-鸡柳大人,-22.37,消费,22.37,餐饮
2021-09-03 23:49:20,开水,-2.00,消费,2.00,浴室/开水
2021-09-04 16:23:19,补卡,-20.00,消费,20.00,补卡
2021-09-04 14:15:05,水吧-拿铁,-14.99,消费,14.99,饮品
2021-09-04 23:56:21,浴室,-2.00,消费,2.00,浴室/开水
2021-09-05 06:10:48,玉兰食堂-早餐,-20.85,消费,20.85,餐饮
2021-09-05 10:26:02,校医院,-75.00,消费,75.00,医疗
2021-09-05 08:22:38,玉兰食堂-早餐,-15.86,消费,15.86,餐饮
2021-09-06 23:04:53,开水,-2.00,消费,2.00,浴室/开水
2021-09-06 08:42:04,玉兰食堂-早餐,-19.75,消费,19.75,餐饮
2021-09-07 15:45:24,补卡,-20.00,消费,20.00,补卡
2021-09-07 09:22:10,售电,-50.00,消费,50.00,生活服务
2021-09-07 20:49:18,紫竹-鸡柳大人,-7.71,消费,7.71,餐饮
2021-09-07 18:58:55,紫竹-民族餐厅,-17.54,消费,17.54,餐饮
2021-09-07 21:10:28,开水,-2.00,消费,2.00,浴室/开水
2021-09-08 10:52:27,微信充值,100.00,充值,100.00,充值/转账
2021-09-08 17:43:56,水吧-奶茶,-17.86,消费,17.86,饮品
2021-09-08 09:05:11,微信充值,100.00,充值,100.00,充值/转账
2021-09-08 18:00:31,紫竹-民族餐厅,-25.10,消费,25.10,餐饮
2021-09-09 20:09:26,浴室,-2.00,消费,2.00,浴室/开水
2021-09-09 11:44:54,售电,-20.00,消费,20.00,生活服务
2021-09-09 14:49:55,玉兰食堂-麻辣烫,-32.09,消费,32.09,餐饮
2021-09-10 11:25:06,微信充值,100.00,充值,100.00,充值/转账
2021-09-10 23:03:12,开水,-2.00,消费,2.00,浴室/开水
2021-09-11 17:03:06,紫竹-饺子,-15.86,消费,15.86,餐饮
2021-09-11 12:23:39,玉兰食堂-烤盘饭,-21.56,消费,21.56,餐饮
2021-09-11 11:39:24,玉兰食堂-烤盘饭,-31.36,消费,31.36,餐饮
2021-09-11 19:38:23,紫竹-民族餐厅,-33.71,消费,33.71,餐饮
2021-09-12 21:07:54,开水,-2.00,消费,2.00,浴室/开水
2021-09-12 23:30:30,开水,-2.00,消费,2.00,浴室/开水
2021-09-12 20:09:06,浴室,-2.00,消费,2.00,浴室/开水
2021-09-13 22:33:01,开水,-2.00,消费,2.00,浴室/开水
2021-09-13 13:34:58,昌平校区-食堂,-10.25,消费,10.25,餐饮
2021-09-13 13:55:05,玉兰食堂-烤盘饭,-34.38,消费,34.38,餐饮
2021-09-14 16:22:49,水吧-奶茶,-17.08,消费,17.08,饮品
2021-09-15 10:50:48,校医院,-50.99,消费,50.99,医疗
2021-09-15 12:47:51,昌平校区-食堂,-29.73,消费,29.73,餐饮
2021-09-15 14:22:46,水吧-拿铁,-13.18,消费,13.18,饮品
2021-09-16 11:30:16,玉兰食堂-烤盘饭,-28.91,消费,28.91,餐饮
2021-09-16 13:59:46,昌平校区-食堂,-18.97,消费,18.97,餐饮
2021-09-16 11:14:06,售电,-20.00,消费,20.00,生活服务
2021-09-16 16:13:30,水吧-拿铁,-9.97,消费,9.97,饮品
2021-09-16 14:22:51,玉兰食堂-烤盘饭,-32.37,消费,32.37,餐饮
2021-09-17 20:48:12,紫竹-鸡柳大人,-28.69,消费,28.69,餐饮
2021-09-18 22:27:50,开水,-2.00,消费,2.00,浴室/开水
2021-09-19 11:47:05,微信充值,100.00,充值,100.00,充值/转账
2021-09-19 18:01:09,紫竹-饺子,-34.80,消费,34.80,餐饮
2021-09-19 14:39:52,补卡,-20.00,消费,20.00,补卡
2021-09-20 23:09:35,开水,-2.00,消费,2.00,浴室/开水
2021-09-20 17:46:41,紫竹-民族餐厅,-6.41,消费,6.41,餐饮
2021-09-20 18:55:12,紫竹-鸡柳大人,-18.58,消费,18.58,餐饮
2021-09-21 15:15:48,水吧-奶茶,-10.93,消费,10.93,饮品
2021-09-21 11:53:08,校医院,-45.83,消费,45.83,医疗
2021-09-21 13:42:37,玉兰食堂-麻辣烫,-32.03,消费,32.03,餐饮
2021-09-22 10:09:33,网络缴费,100.00,充值,100.00,网络缴费
2021-09-22 14:38:00,玉兰食堂-烤盘饭,-28.52,消费,28.52,餐饮
2021-09-23 20:07:35,紫竹-民族餐厅,-23.95,消费,23.95,餐饮
2021-09-23 13:33:35,玉兰食堂-麻辣烫,-25.79,消费,25.79,餐饮
2021-09-23 21:56:35,开水,-2.00,消费,2.00,浴室/开水
2021-09-24 12:02:49,玉兰食堂-麻辣烫,-11.55,消费,11.55,餐饮
2021-09-24 20:48:57,紫竹-鸡柳大人,-22.29,消费,22.29,餐饮
2021-09-25 13:34:51,昌平校区-食堂,-19.12,消费,19.12,餐饮
2021-09-25 22:44:33,开水,-2.00,消费,2.00,浴室/开水
2021-09-25 15:08:26,水吧-奶茶,-16.40,消费,16.40,饮品
2021-09-25 20:04:42,紫竹-鸡柳大人,-18.82,消费,18.82,餐饮
2021-09-26 16:42:19,水吧-拿铁,-8.73,消费,8.73,饮品
2021-09-26 18:41:42,紫竹-鸡柳大人,-33.25,消费,33.25,餐饮
2021-09-27 20:06:25,紫竹-民族餐厅,-12.37,消费,12.37,餐饮
2021-09-27 22:42:53,开水,-2.00,消费,2.00,浴室/开水
2021-09-28 14:32:25,水吧-拿铁,-15.06,消费,15.06,饮品
2021-09-28 12:20:05,校医院,-19.68,消费,19.68,医疗
2021-09-28 09:35:29,售电,-50.00,消费,50.00,生活服务
2021-09-28 13:24:21,补卡,-20.00,消费,20.00,补卡
2021-09-29 06:50:14,玉兰食堂-早餐,-34.57,消费,34.57,餐饮
2021-09-29 17:02:57,紫竹-鸡柳大人,-13.70,消费,13.70,餐饮
2021-09-30 19:52:27,紫竹-饺子,-27.92,消费,27.92,餐饮
2021-09-30 17:58:32,水吧-奶茶,-9.49,消费,9.49,饮品
2021-09-30 23:05:17,开水,-2.00,消费,2.00,浴室/开水
2021-10-01 09:01:40,网络缴费,200.00,充值,200.00,网络缴费
2021-10-01 08:54:14,玉兰食堂-早餐,-8.43,消费,8.43,餐饮
2021-10-01 08:29:00,玉兰食堂-早餐,-31.02,消费,31.02,餐饮
2021-10-01 12:17:39,校医院,-74.50,消费,74.50,医疗
2021-10-01 17:15:07,紫竹-民族餐厅,-21.28,消费,21.28,餐饮
2021-10-02 19:12:59,紫竹-饺子,-7.46,消费,7.46,餐饮
2021-10-02 22:33:48,浴室,-2.00,消费,2.00,浴室/开水
2021-10-02 13:43:11,昌平校区-食堂,-18.92,消费,18.92,餐饮
2021-10-02 16:16:02,水吧-奶茶,-16.04,消费,16.04,饮品
2021-10-03 14:28:06,昌平校区-食堂,-13.12,消费,13.12,餐饮
2021-10-03 12:53:56,网络缴费,100.00,充值,100.00,网络缴费
2021-10-03 10:14:21,微信充值,100.00,充值,100.00,充值/转账
2021-10-03 12:22:03,昌平校区-食堂,-17.74,消费,17.74,餐饮
2021-10-03 17:47:56,紫竹-民族餐厅,-8.05,消费,8.05,餐饮
2021-10-04 17:05:42,水吧-奶茶,-9.63,消费,9.63,饮品
2021-10-04 10:15:44,微信充值,100.00,充值,100.00,充值/转账
2021-10-04 20:29:11,浴室,-2.00,消费,2.00,浴室/开水
2021-10-05 16:35:20,水吧-奶茶,-17.62,消费,17.62,饮品
2021-10-05 13:19:13,水吧-拿铁,-17.66,消费,17.66,饮品
2021-10-05 10:21:24,售电,-20.00,消费,20.00,生活服务
2021-10-05 09:41:12,玉兰食堂-早餐,-14.09,消费,14.09,餐饮
2021-10-06 13:52:05,水吧-拿铁,-8.91,消费,8.91,饮品
2021-10-06 20:25:01,紫竹-民族餐厅,-23.02,消费,23.02,餐饮
2021-10-06 22:40:14,浴室,-2.00,消费,2.00,浴室/开水
2021-10-06 07:45:50,玉兰食堂-早餐,-25.07,消费,25.07,餐饮
2021-10-07 12:46:39,校医院,-16.21,消费,16.21,医疗
2021-10-07 17:45:57,紫竹-民族餐厅,-29.92,消费,29.92,餐饮
2021-10-07 10:48:32,网络缴费,100.00,充值,100.00,网络缴费
2021-10-07 12:02:08,玉兰食堂-烤盘饭,-8.47,消费,8.47,餐饮
2021-10-08 09:53:28,售电,-50.00,消费,50.00,生活服务
2021-10-08 11:43:15,玉兰食堂-麻辣烫,-24.16,消费,24.16,餐饮
2021-10-09 06:04:47,玉兰食堂-早餐,-25.12,消费,25.12,餐饮
2021-10-09 23:51:04,开水,-2.00,消费,2.00,浴室/开水
2021-10-09 15:13:14,水吧-奶茶,-15.29,消费,15.29,饮品
